sqlite> select (position_speed*3.6),* from VTS order by position_speed DESC limit 50;
(position_speed*3.6)|created_at|vehicle_license_plate|vehicle_id|direction|trip_route_id|trip_trip_id|trip_schedule_relationship|position_latitude|position_longitude|position_bearing|position_speed|current_stop_sequence|current_status|timestamp|stop_id
227.988|1746192600|41 J 4226|42321|1|41413|2599292|0|40.817932|29.394884|94.0|63.33|33|2|1746192575|11358
198.972|1747231141|41 HO 1694|47031|0|41102|2641000|0|40.750682|29.821584|230.6|55.27|29|2|1747231117|40112
189.0|1748347081|41 HO 1714|47596|1|41118|2655277|0|40.770164|29.949539|332.1|52.5|19|2|1748346952|80902
174.996|1748878320|41 US 269|10180|0|44001|0|0|40.99773|29.122163|27.5|48.61|1|2|1748859562|60021
159.984|1747728061|41 AKN 647|41647|0|41590|2617949|0|40.797035|29.426973|69.8|44.44|82|0|1747727993|60431
158.976|1746184801|41 ALL 702|41702|1|42435|2581211|0|40.772281|29.758697|279.2|44.16|42|2|1746184777|98283
145.98|1748694961|41 J 0344|47202|0|41147|2660258|0|40.771289|29.910457|16.2|40.55|28|2|1748694874|80357
141.984|1748962981|41 M 9001|12081|0|51082|2659709|0|41.134784|30.199499|350.6|39.44|13|0|1748962964|90504
139.968|1749453120|34 HT 8917|10132|0|44001|0|0|40.912528|29.356048|149.1|38.88|1|2|1749442264|60021
138.996|1749125041|41 M 9001|12081|0|51082|2659703|0|41.145206|30.197134|350.3|38.61|13|0|1749124988|90504
137.988|1746553140|41 AUN 421|10135|0|44001|0|0|40.9234|29.350784|167.1|38.33|1|2|1746535833|60021
137.988|1748523241|41 AKN 647|41647|0|41310|2605449|0|40.774124|29.52082|189.6|38.33|29|2|1748523227|20317
137.988|1749558721|41 AYV 831|10105|0|44001|0|0|40.846916|29.374824|182.1|38.33|1|0|1749541261|60021
136.98|1746207120|41 AYV 831|10105|0|44001|0|0|40.845302|29.374586|190.8|38.05|1|2|1746191976|60021
136.98|1747252920|41 ALL 702|41702|0|42435|2581080|0|40.777606|29.96849|330.2|38.05|76|2|1747252857|80523
135.972|1746620041|41 AYV 831|10105|0|44001|0|0|40.849689|29.37467|177.1|37.77|1|2|1746600453|60021
135.972|1749896941|41 R 7683|10196|0|44001|0|0|40.933933|29.337156|116.5|37.77|1|2|1749879705|60021
135.0|1746292441|41 R 7683|10196|0|44001|0|0|40.833553|29.37001|206.6|37.5|1|2|1746270295|60021
135.0|1746553441|41 AUN 421|10135|0|44001|0|0|40.851585|29.374673|184.1|37.5|1|2|1746535833|60021
135.0|1746771961|41 ALL 661|41661|1|41020|2646655|0|40.764099|29.915838|96.0|37.5|22|2|1746771908|80359
135.0|1747571641|34 COD 952|10198|0|44001|0|0|40.876041|29.389066|306.3|37.5|1|2|1747549578|60021
135.0|1747599601|41 VA 946|10129|0|44001|0|0|40.788093|29.415191|289.2|37.5|1|2|1747599368|60021
135.0|1749442321|41 HB 625|41025|1|51062|2143128|0|40.806964|29.49522|55.0|37.5|14|2|1749442279|60016
135.0|1749891001|41 HO 5568|28046|1|41656|2669127|0|40.718574|29.80677|11.1|37.5|1|2|1749890862|70443
133.992|1746207180|41 AYV 831|10105|0|44001|0|0|40.827266|29.365608|197.6|37.22|1|2|1746191976|60021
133.992|1746299760|41 AYV 831|10105|0|44001|0|0|40.861225|29.380619|224.1|37.22|1|2|1746280180|60021
133.992|1746865861|41 AUN 421|10135|0|44001|0|0|40.951869|29.302143|293.6|37.22|1|0|1746862946|60021
132.984|1746776821|41 AUN 421|10135|0|44001|0|0|40.961528|29.280492|302.7|36.94|1|2|1746773081|60021
132.984|1748784421|41 TG 990|10109|0|44001|0|0|40.954837|29.294784|303.1|36.94|1|2|1748761800|60021
